"year","prodinit_ippu_lime_and_carbonite_tonne","location_code"
2026,49469639.2600019,"FRO"
2027,194896696.322111,"FRO"
2028,767839078.785953,"FRO"
2029,3025073600.71641,"FRO"
2030,11917953308.9411,"FRO"
2031,46953439757.7837,"FRO"
2032,184983566216.346,"FRO"
2033,728784087952.676,"FRO"
2034,2871207738701.71,"FRO"
2035,11311764368977.2,"FRO"
2036,44565222994669.1,"FRO"
2037,175574652705055,"FRO"
2038,691715571044898,"FRO"
2039,2725168034532543,"FRO"
2040,10736408326358060,"FRO"
2041,42298479319299440,"FRO"
2042,166644309562331200,"FRO"
2043,656532489025801856,"FRO"
2044,2586556422349312000,"FRO"
2045,10190316911694438400,"FRO"
2046,40147030184034336768,"FRO"
2047,1.5816819501934e+20,"FRO"
2048,6.23138942058653e+20,"FRO"
2049,2.45499508331936e+21,"FRO"
2050,9.67200162328313e+21,"FRO"
2021,0,"FSM"
2022,0,"FSM"
2023,0,"FSM"
2024,0,"FSM"
2025,0,"FSM"
2026,0,"FSM"
2027,0,"FSM"
2028,0,"FSM"
2029,0,"FSM"
2030,0,"FSM"
2031,0,"FSM"
2032,0,"FSM"
2033,0,"FSM"
2034,0,"FSM"
2035,0,"FSM"
2036,0,"FSM"
2037,0,"FSM"
2038,0,"FSM"
2039,0,"FSM"
2040,0,"FSM"
2041,0,"FSM"
2042,0,"FSM"
2043,0,"FSM"
2044,0,"FSM"
2045,0,"FSM"
2046,0,"FSM"
2047,0,"FSM"
2048,0,"FSM"
2049,0,"FSM"
2050,0,"FSM"
2021,687.1092,"GAB"
2022,Inf,"GAB"
2023,Inf,"GAB"
2024,Inf,"GAB"
2025,Inf,"GAB"
2026,Inf,"GAB"
2027,Inf,"GAB"
2028,Inf,"GAB"
2029,Inf,"GAB"
2030,Inf,"GAB"
2031,Inf,"GAB"
2032,Inf,"GAB"
2033,Inf,"GAB"
2034,Inf,"GAB"
2035,Inf,"GAB"
2036,Inf,"GAB"
2037,Inf,"GAB"
2038,Inf,"GAB"
2039,Inf,"GAB"
2040,Inf,"GAB"
2041,Inf,"GAB"
2042,Inf,"GAB"
2043,Inf,"GAB"
2044,Inf,"GAB"
2045,Inf,"GAB"
2046,Inf,"GAB"
2047,Inf,"GAB"
2048,Inf,"GAB"
2049,Inf,"GAB"
2050,Inf,"GAB"
2021,2623447,"GBR"
2022,3033312.34331278,"GBR"
2023,3507211.60827478,"GBR"
2024,4055148.91743181,"GBR"
2025,4688691.35348164,"GBR"
2026,5421213.14305178,"GBR"
2027,6268177.98970149,"GBR"
2028,7247465.51626276,"GBR"
2029,8379748.70779304,"GBR"
2030,9688930.32304747,"GBR"
2031,11202647.4872171,"GBR"
2032,12952855.1180022,"GBR"
2033,14976500.5012787,"GBR"
2034,17316303.2568063,"GBR"
2035,20021657.1592328,"GBR"
2036,23149672.8520445,"GBR"
2037,26766383.4663933,"GBR"
2038,30948138.5956926,"GBR"
2039,35783216.0531045,"GBR"
2040,41373685.4364924,"GBR"
2041,47837562.8411218,"GBR"
2042,55311302.2065913,"GBR"
2043,63952675.890901,"GBR"
2044,73944105.2812392,"GBR"
2045,85496511.7514485,"GBR"
2046,98853769.2607682,"GBR"
2047,114297852.589239,"GBR"
2048,132154789.890203,"GBR"
2049,152801545.219651,"GBR"
2050,176673976.334202,"GBR"
2021,1155.045,"GEO"
2022,Inf,"GEO"
2023,Inf,"GEO"
2024,Inf,"GEO"
2025,Inf,"GEO"
2026,Inf,"GEO"
2027,Inf,"GEO"
2028,Inf,"GEO"
2029,Inf,"GEO"
2030,Inf,"GEO"
2031,Inf,"GEO"
2032,Inf,"GEO"
2033,Inf,"GEO"
2034,Inf,"GEO"
2035,Inf,"GEO"
2036,Inf,"GEO"
2037,Inf,"GEO"
2038,Inf,"GEO"
2039,Inf,"GEO"
2040,Inf,"GEO"
2041,Inf,"GEO"
2042,Inf,"GEO"
2043,Inf,"GEO"
2044,Inf,"GEO"
2045,Inf,"GEO"
2046,Inf,"GEO"
2047,Inf,"GEO"
2048,Inf,"GEO"
2049,Inf,"GEO"
2050,Inf,"GEO"
2021,624133.7,"GHA"
2022,887270.257311318,"GHA"
2023,1261345.9415976,"GHA"
2024,1793133.00685396,"GHA"
2025,2549123.02345592,"GHA"
2026,3623840.59848064,"GHA"
2027,5151662.18435108,"GHA"
2028,7323617.73108897,"GHA"
2029,10411275.9633281,"GHA"
2030,14800699.7585954,"GHA"
2031,21040717.2104255,"GHA"
2032,29911543.9100771,"GHA"
2033,42522336.578962,"GHA"
2034,60449875.5921914,"GHA"
2035,85935716.4516526,"GHA"
2036,122166460.885368,"GHA"
2037,173672191.045883,"GHA"
2038,246892884.708999,"GHA"
2039,350983632.744214,"GHA"
2040,498959338.579249,"GHA"
2041,709322026.240685,"GHA"
2042,1008374226.13001,"GHA"
2043,1433507690.87532,"GHA"
2044,2037878643.21491,"GHA"
2045,2897054121.79239,"GHA"
2046,4118460445.39422,"GHA"
2047,5854815176.79852,"GHA"
2048,8323222041.09189,"GHA"
2049,11832316316.2938,"GHA"
2050,16820854798.4942,"GHA"
2021,49981.01,"GIN"
2022,Inf,"GIN"
2023,Inf,"GIN"
2024,Inf,"GIN"
2025,Inf,"GIN"
2026,Inf,"GIN"
2027,Inf,"GIN"
2028,Inf,"GIN"
2029,Inf,"GIN"
2030,Inf,"GIN"
2031,Inf,"GIN"
2032,Inf,"GIN"
2033,Inf,"GIN"
2034,Inf,"GIN"
2035,Inf,"GIN"
2036,Inf,"GIN"
2037,Inf,"GIN"
2038,Inf,"GIN"
2039,Inf,"GIN"
2040,Inf,"GIN"
2041,Inf,"GIN"
2042,Inf,"GIN"
2043,Inf,"GIN"
2044,Inf,"GIN"
2045,Inf,"GIN"
2046,Inf,"GIN"
2047,Inf,"GIN"
2048,Inf,"GIN"
2049,Inf,"GIN"
2050,Inf,"GIN"
2021,41682.64,"GMB"
2022,Inf,"GMB"
2023,Inf,"GMB"
2024,Inf,"GMB"
2025,Inf,"GMB"
2026,Inf,"GMB"
2027,Inf,"GMB"
2028,Inf,"GMB"
2029,Inf,"GMB"
2030,Inf,"GMB"
2031,Inf,"GMB"
2032,Inf,"GMB"
2033,Inf,"GMB"
2034,Inf,"GMB"
2035,Inf,"GMB"
2036,Inf,"GMB"
2037,Inf,"GMB"
2038,Inf,"GMB"
2039,Inf,"GMB"
2040,Inf,"GMB"
2041,Inf,"GMB"
2042,Inf,"GMB"
2043,Inf,"GMB"
2044,Inf,"GMB"
2045,Inf,"GMB"
2046,Inf,"GMB"
2047,Inf,"GMB"
2048,Inf,"GMB"
2049,Inf,"GMB"
2050,Inf,"GMB"
2021,44257.42,"GNB"
2022,Inf,"GNB"
2023,Inf,"GNB"
2024,Inf,"GNB"
2025,Inf,"GNB"
2026,Inf,"GNB"
2027,Inf,"GNB"
2028,Inf,"GNB"
2029,Inf,"GNB"
2030,Inf,"GNB"
2031,Inf,"GNB"
2032,Inf,"GNB"
2033,Inf,"GNB"
2034,Inf,"GNB"
2035,Inf,"GNB"
2036,Inf,"GNB"
2037,Inf,"GNB"
2038,Inf,"GNB"
2039,Inf,"GNB"
2040,Inf,"GNB"
2041,Inf,"GNB"
2042,Inf,"GNB"
2043,Inf,"GNB"
2044,Inf,"GNB"
2045,Inf,"GNB"
2046,Inf,"GNB"
2047,Inf,"GNB"
2048,Inf,"GNB"
2049,Inf,"GNB"
2050,Inf,"GNB"
2021,0,"GNQ"
2022,NA,"GNQ"
2023,NA,"GNQ"
2024,NA,"GNQ"
2025,NA,"GNQ"
2026,NA,"GNQ"
2027,NA,"GNQ"
2028,NA,"GNQ"
2029,NA,"GNQ"
2030,NA,"GNQ"
2031,NA,"GNQ"
2032,NA,"GNQ"
2033,NA,"GNQ"
2034,NA,"GNQ"
2035,NA,"GNQ"
2036,NA,"GNQ"
2037,NA,"GNQ"
2038,NA,"GNQ"
2039,NA,"GNQ"
2040,NA,"GNQ"
2041,NA,"GNQ"
2042,NA,"GNQ"
2043,NA,"GNQ"
2044,NA,"GNQ"
2045,NA,"GNQ"
2046,NA,"GNQ"
2047,NA,"GNQ"
2048,NA,"GNQ"
2049,NA,"GNQ"
2050,NA,"GNQ"
2021,18228.01,"GRC"
2022,16863.7933039702,"GRC"
2023,15601.6770124128,"GRC"
2024,14434.0197494204,"GRC"
2025,13353.7520332527,"GRC"
2026,12354.3334747592,"GRC"
2027,11429.7131791489,"GRC"
2028,10574.2931113617,"GRC"
2029,9782.89420323993,"GRC"
2030,9050.72499730066,"GRC"
2031,8373.35263726291,"GRC"
2032,7746.67602969581,"GRC"
2033,7166.90101429672,"GRC"
2034,6630.51739246985,"GRC"
2035,6134.27767512697,"GRC"
2036,5675.17742104048,"GRC"
2037,5250.43704670918,"GRC"
2038,4857.48499760596,"GRC"
2039,4493.94217891932,"GRC"
2040,4157.60755152586,"GRC"
2041,3846.44480598583,"GRC"
2042,3558.57003388054,"GRC"
2043,3292.24032184883,"GRC"
2044,3045.84319926613,"GRC"
2045,2817.886875678,"GRC"
2046,2606.99120888151,"GRC"
2047,2411.87934897146,"GRC"
2048,2231.37000776107,"GRC"
2049,2064.37030677299,"GRC"
2050,1909.86916049932,"GRC"
2021,5395.845,"GRL"
2022,Inf,"GRL"
2023,Inf,"GRL"
2024,Inf,"GRL"
2025,Inf,"GRL"
2026,Inf,"GRL"
2027,Inf,"GRL"
2028,Inf,"GRL"
2029,Inf,"GRL"
2030,Inf,"GRL"
2031,Inf,"GRL"
2032,Inf,"GRL"
2033,Inf,"GRL"
2034,Inf,"GRL"
2035,Inf,"GRL"
2036,Inf,"GRL"
2037,Inf,"GRL"
2038,Inf,"GRL"
2039,Inf,"GRL"
2040,Inf,"GRL"
2041,Inf,"GRL"
2042,Inf,"GRL"
2043,Inf,"GRL"
2044,Inf,"GRL"
2045,Inf,"GRL"
2046,Inf,"GRL"
2047,Inf,"GRL"
2048,Inf,"GRL"
2049,Inf,"GRL"
2050,Inf,"GRL"
2021,1607.844,"GTM"
2022,Inf,"GTM"
2023,Inf,"GTM"
2024,Inf,"GTM"
2025,Inf,"GTM"
2026,Inf,"GTM"
2027,Inf,"GTM"
2028,Inf,"GTM"
2029,Inf,"GTM"
2030,Inf,"GTM"
2031,Inf,"GTM"
2032,Inf,"GTM"
2033,Inf,"GTM"
2034,Inf,"GTM"
2035,Inf,"GTM"
2036,Inf,"GTM"
2037,Inf,"GTM"
2038,Inf,"GTM"
2039,Inf,"GTM"
2040,Inf,"GTM"
2041,Inf,"GTM"
2042,Inf,"GTM"
2043,Inf,"GTM"
2044,Inf,"GTM"
2045,Inf,"GTM"
2046,Inf,"GTM"
2047,Inf,"GTM"
2048,Inf,"GTM"
2049,Inf,"GTM"
2050,Inf,"GTM"
2021,0,"GUM"
2022,NA,"GUM"
2023,NA,"GUM"
2024,NA,"GUM"
2025,NA,"GUM"
2026,NA,"GUM"
2027,NA,"GUM"
2028,NA,"GUM"
2029,NA,"GUM"
2030,NA,"GUM"
2031,NA,"GUM"
2032,NA,"GUM"
2033,NA,"GUM"
2034,NA,"GUM"
2035,NA,"GUM"
2036,NA,"GUM"
2037,NA,"GUM"
2038,NA,"GUM"
2039,NA,"GUM"
2040,NA,"GUM"
2041,NA,"GUM"
2042,NA,"GUM"
2043,NA,"GUM"
2044,NA,"GUM"
2045,NA,"GUM"
2046,NA,"GUM"
2047,NA,"GUM"
2048,NA,"GUM"
2049,NA,"GUM"
2050,NA,"GUM"
2021,299542.4,"HKG"
2022,307418.582243635,"HKG"
2023,315501.861201241,"HKG"
2024,323797.682283756,"HKG"
2025,332311.634084014,"HKG"
2026,341049.452141577,"HKG"
2027,350017.022806562,"HKG"
2028,359220.387205055,"HKG"
2029,368665.745308803,"HKG"
2030,378359.460111908,"HKG"
2031,388308.061917345,"HKG"
2032,398518.252736187,"HKG"
2033,408996.910802508,"HKG"
2034,419751.095207001,"HKG"
2035,430788.050652426,"HKG"
2036,442115.212334108,"HKG"
2037,453740.210948751,"HKG"
2038,465670.877834968,"HKG"
2039,477915.250248962,"HKG"
2040,490481.576778941,"HKG"
2041,503378.322901882,"HKG"
2042,516614.176686423,"HKG"
2043,530198.054645697,"HKG"
2044,544139.107744057,"HKG"
2045,558446.727561757,"HKG"
2046,573130.552621708,"HKG"
2047,588200.47488261,"HKG"
2048,603666.646402796,"HKG"
2049,619539.48617931,"HKG"
2050,635829.687166805,"HKG"
2021,582.5545,"HND"
2022,Inf,"HND"
2023,Inf,"HND"
2024,Inf,"HND"
2025,Inf,"HND"
2026,Inf,"HND"
2027,Inf,"HND"
2028,Inf,"HND"
2029,Inf,"HND"
2030,Inf,"HND"
2031,Inf,"HND"
2032,Inf,"HND"
2033,Inf,"HND"
2034,Inf,"HND"
2035,Inf,"HND"
2036,Inf,"HND"
2037,Inf,"HND"
2038,Inf,"HND"
2039,Inf,"HND"
2040,Inf,"HND"
2041,Inf,"HND"
2042,Inf,"HND"
2043,Inf,"HND"
2044,Inf,"HND"
2045,Inf,"HND"
2046,Inf,"HND"
2047,Inf,"HND"
2048,Inf,"HND"
2049,Inf,"HND"
2050,Inf,"HND"
2021,117335.2,"HRV"
2022,100373.98910018,"HRV"
2023,85864.5801761369,"HRV"
2024,73452.5567322602,"HRV"
2025,62834.7344089773,"HRV"
2026,53751.7551994576,"HRV"
2027,45981.7521980267,"HRV"
2028,39334.930131213,"HRV"
2029,33648.929291864,"HRV"
2030,28784.8596326958,"HRV"
2031,24623.9081454024,"HRV"
2032,21064.4366549037,"HRV"
2033,18019.49913752,"HRV"
2034,15414.7179194319,"HRV"
2035,13186.4668780333,"HRV"
2036,11280.3172678412,"HRV"
2037,9649.70820767223,"HRV"
2038,8254.80935351719,"HRV"
2039,7061.54797600378,"HRV"
2040,6040.77667719321,"HRV"
2041,5167.56141680598,"HRV"
2042,4420.57245673075,"HRV"
2043,3781.56334662104,"HRV"
2044,3234.92522393434,"HRV"
2045,2767.30554144948,"HRV"
2046,2367.2819090462,"HRV"
2047,2025.08308278894,"HRV"
2048,1732.35028600808,"HRV"
2049,1481.93303224837,"HRV"
2050,1267.71446271958,"HRV"
2021,147535.2,"HTI"
2022,Inf,"HTI"
2023,Inf,"HTI"
2024,Inf,"HTI"
2025,Inf,"HTI"
2026,Inf,"HTI"
2027,Inf,"HTI"
2028,Inf,"HTI"
2029,Inf,"HTI"
2030,Inf,"HTI"
2031,Inf,"HTI"
2032,Inf,"HTI"
2033,Inf,"HTI"
2034,Inf,"HTI"
2035,Inf,"HTI"
2036,Inf,"HTI"
2037,Inf,"HTI"
2038,Inf,"HTI"
2039,Inf,"HTI"
2040,Inf,"HTI"
2041,Inf,"HTI"
2042,Inf,"HTI"
2043,Inf,"HTI"
2044,Inf,"HTI"
2045,Inf,"HTI"
2046,Inf,"HTI"
2047,Inf,"HTI"
2048,Inf,"HTI"
2049,Inf,"HTI"
2050,Inf,"HTI"
2021,61731.84,"HUN"
2022,67303.3680789811,"HUN"
2023,73377.7472820317,"HUN"
2024,80000.3617926994,"HUN"
2025,87220.6918858357,"HUN"
2026,95092.6836150648,"HUN"
2027,103675.151865922,"HUN"
2028,113032.219786036,"HUN"
2029,123233.797875519,"HUN"
2030,134356.106317045,"HUN"
2031,146482.244448162,"HUN"
2032,159702.811630593,"HUN"
2033,174116.584155308,"HUN"
2034,189831.253240785,"HUN"
2035,206964.229638365,"HUN"
2036,225643.520856233,"HUN"
2037,246008.687556119,"HUN"
2038,268211.886268359,"HUN"
2039,292419.006215871,"HUN"
2040,318810.908740719,"HUN"
2041,347584.778593527,"HUN"
2042,378955.5971818,"HUN"
2043,413157.748784368,"HUN"
2044,450446.771732667,"HUN"
2045,491101.267642638,"HUN"
2046,535424.982961899,"HUN"
2047,583749.078384297,"HUN"
2048,636434.603087553,"HUN"
2049,693875.192280059,"HUN"
2050,756500.008211299,"HUN"
2021,10692490,"IDN"
2022,12444476.0425598,"IDN"
2023,14483528.530197,"IDN"
2024,16856683.8786633,"IDN"
2025,19618685.5152569,"IDN"
2026,22833246.6882018,"IDN"
2027,26574520.189889,"IDN"
2028,30928808.897235,"IDN"
2029,35996556.5875256,"IDN"
2030,41894664.9534498,"IDN"
2031,48759190.2657171,"IDN"
2032,56748481.8892824,"IDN"
2033,66046835.0517808,"IDN"
2034,76868742.1254345,"IDN"
2035,89463840.4900711,"IDN"
2036,104122671.113472,"IDN"
2037,121183380.686719,"IDN"
2038,141039521.917933,"IDN"
2039,164149131.919863,"IDN"
2040,191045298.109582,"IDN"
2041,222348455.352158,"IDN"
2042,258780698.016095,"IDN"
2043,301182437.08792,"IDN"
2044,350531786.588569,"IDN"
2045,407967126.493187,"IDN"
2046,474813362.630823,"IDN"
2047,552612489.321622,"IDN"
2048,643159159.763749,"IDN"
2049,748542084.699905,"IDN"
2050,871192214.338827,"IDN"
2021,144219000,"IND"
2022,158859010.902621,"IND"
2023,174985163.847753,"IND"
2024,192748320.61994,"IND"
2025,212314657.339358,"IND"
2026,233867219.056153,"IND"
2027,257607632.155313,"IND"
2028,283757990.591803,"IND"
2029,312562933.601877,"IND"
2030,344291934.327763,"IND"
2031,379241820.766048,"IND"
2032,417739552.623465,"IND"
2033,460145280.057877,"IND"
2034,506855712.919268,"IND"
2035,558307832.010329,"IND"
2036,614982977.085874,"IND"
2037,677411349.834704,"IND"
2038,746176973.969799,"IND"
2039,821923158.828955,"IND"
2040,905358517.598413,"IND"
2041,997263596.460571,"IND"
2042,1098498176.68211,"IND"
2043,1210009317.95431,"IND"
2044,1332840218.23183,"IND"
2045,1468139972.95462,"IND"
2046,1617174324.95144,"IND"
2047,1781337505.59149,"IND"
2048,1962165277.95926,"IND"
2049,2161349304.07279,"IND"
2050,2380752970.55223,"IND"
2021,227205.2,"IRL"
2022,207432.244186712,"IRL"
2023,189380.066690093,"IRL"
2024,172898.913571323,"IRL"
2025,157852.063507103,"IRL"
2026,144114.693602003,"IRL"
2027,131572.843905614,"IRL"
2028,120122.47204452,"IRL"
2029,109668.59012668,"IRL"
2030,100124.476758323,"IRL"
2031,91410.9576365294,"IRL"
2032,83455.7487495964,"IRL"
2033,76192.8567366028,"IRL"
2034,69562.0314318079,"IRL"
2035,63508.2660523902,"IRL"
2036,57981.3408832813,"IRL"
2037,52935.4066736757,"IRL"
2038,48328.6042892364,"IRL"
2039,44122.7174647759,"IRL"
2040,40282.8557767811,"IRL"
2041,36777.1652058464,"IRL"
2042,33576.5638879489,"IRL"
2043,30654.5008624616,"IRL"
2044,27986.7358155708,"IRL"
2045,25551.1379919319,"IRL"
2046,23327.5026064139,"IRL"
2047,21297.3832329534,"IRL"
2048,19443.9387800807,"IRL"
2049,17751.7937836862,"IRL"
2050,16206.9108580691,"IRL"
2021,365848,"IRN"
2022,775534.934386352,"IRN"
2023,1644000.88138692,"IRN"
2024,3484999.55084492,"IRN"
2025,7387600.58275837,"IRN"
2026,15660444.5923501,"IRN"
2027,33197453.2302741,"IRN"
2028,70372899.9823276,"IRN"
2029,149178463.105912,"IRN"
2030,316232723.963778,"IRN"
2031,670359069.422455,"IRN"
2032,1421046109.09405,"IRN"
2033,3012373720.71525,"IRN"
2034,6385714985.02677,"IRN"
2035,13536619174.9652,"IRN"
2036,28695308061.4619,"IRN"
2037,60829125359.827,"IRN"
2038,128947299820.452,"IRN"
2039,273346132015.349,"IRN"
2040,579446859234.673,"IRN"
2041,1228327835486.16,"IRN"
2042,2603844075404.78,"IRN"
2043,5519702292130.43,"IRN"
2044,11700820982920.7,"IRN"
2045,24803731148607.8,"IRN"
2046,52579650589513.3,"IRN"
2047,111459829956691,"IRN"
2048,236275698957426,"IRN"
2049,500863907109064,"IRN"
2050,1061745471715903,"IRN"
2021,8949.335,"IRQ"
2022,15711.2533496002,"IRQ"
2023,27582.3267109036,"IRQ"
2024,48422.9189013991,"IRQ"
2025,85010.1987228132,"IRQ"
2026,149242.012890788,"IRQ"
2027,262005.956300829,"IRQ"
2028,459971.825677172,"IRQ"
2029,807516.30002589,"IRQ"
2030,1417657.64424268,"IRQ"
2031,2488808.20884392,"IRQ"
2032,4369296.30053089,"IRQ"
2033,7670639.34215356,"IRQ"
2034,13466403.7113356,"IRQ"
2035,23641318.6473398,"IRQ"
2036,41504172.8560819,"IRQ"
2037,72863802.1492662,"IRQ"
2038,127918069.396471,"IRQ"
2039,224570115.687892,"IRQ"
2040,394250297.069169,"IRQ"
2041,692137047.100022,"IRQ"
2042,1215100395.68668,"IRQ"
2043,2133203211.39312,"IRQ"
2044,3745004081.3511,"IRQ"
2045,6574645816.40915,"IRQ"
2046,11542301869.9706,"IRQ"
2047,20263408277.45,"IRQ"
2048,35573988589.4766,"IRQ"
2049,62452902632.995,"IRQ"
2050,109640925910.685,"IRQ"
2021,25246.04,"ISL"
2022,26111.7440303834,"ISL"
2023,27007.1336458417,"ISL"
2024,27933.2267854513,"ISL"
2025,28891.076294118,"ISL"
2026,29881.7711195216,"ISL"
2027,30906.437550105,"ISL"
2028,31966.2404955143,"ISL"
2029,33062.3848109465,"ISL"
2030,34196.1166669098,"ISL"
2031,35368.7249659542,"ISL"
2032,36581.5428079821,"ISL"
2033,37835.9490058061,"ISL"
2034,39133.3696526763,"ISL"
2035,40475.2797435581,"ISL"
2036,41863.2048520066,"ISL"
2037,43298.7228645405,"ISL"
2038,44783.4657744894,"ISL"
2039,46319.1215373542,"ISL"
2040,47907.4359897875,"ISL"
2041,49550.2148343784,"ISL"
2042,51249.3256924966,"ISL"
2043,53006.7002275297,"ISL"
2044,54824.3363409281,"ISL"
2045,56704.3004435532,"ISL"
2046,58648.7298049128,"ISL"
2047,60659.8349829519,"ISL"
2048,62739.9023371641,"ISL"
2049,64891.2966278785,"ISL"
2050,67116.4637046779,"ISL"
2021,20319.66,"ISR"
2022,25911.9760084576,"ISR"
2023,33043.3924909611,"ISR"
2024,42137.4960734497,"ISR"
2025,53734.4516252588,"ISR"
2026,68523.0865743488,"ISR"
2027,87381.805371743,"ISR"
2028,111430.764312411,"ISR"
2029,142098.405754195,"ISR"
2030,181206.303685336,"ISR"
2031,231077.360235147,"ISR"
2032,294673.779704525,"ISR"
2033,375773.015396181,"ISR"
2034,479192.140004883,"ISR"
2035,611073.966554952,"ISR"
2036,779251.914685824,"ISR"
2037,993715.294344676,"ISR"
2038,1267202.64346434,"ISR"
2039,1615958.36226109,"ISR"
2040,2060697.5861592,"ISR"
2041,2627836.60815406,"ISR"
2042,3351061.93433526,"ISR"
2043,4273331.17017464,"ISR"
2044,5449424.58474991,"ISR"
2045,6949198.908837,"ISR"
2046,8861736.63357478,"ISR"
2047,11300637.2666895,"ISR"
2048,14410764.8324204,"ISR"
2049,18376852.39818,"ISR"
2050,23434474.7132879,"ISR"
2021,186687.7,"ITA"
2022,184903.297705418,"ITA"
2023,183135.951122321,"ITA"
2024,181385.497228449,"ITA"
2025,179651.774559744,"ITA"
2026,177934.62319546,"ITA"
2027,176233.884743406,"ITA"
2028,174549.40232534,"ITA"
2029,172881.020562497,"ITA"
2030,171228.585561255,"ITA"
2031,169591.944898943,"ITA"
2032,167970.947609779,"ITA"
2033,166365.444170945,"ITA"
2034,164775.286488796,"ITA"
2035,163200.327885198,"ITA"
2036,161640.423083999,"ITA"
2037,160095.428197628,"ITA"
2038,158565.200713826,"ITA"
2039,157049.599482494,"ITA"
2040,155548.484702679,"ITA"
2041,154061.717909675,"ITA"
2042,152589.161962255,"ITA"
2043,151130.681030015,"ITA"
2044,149686.140580849,"ITA"
2045,148255.407368541,"ITA"
2046,146838.349420467,"ITA"
2047,145434.836025431,"ITA"
2048,144044.737721601,"ITA"
2049,142667.926284571,"ITA"
2050,141304.274715531,"ITA"
2021,1045524,"JAM"
2022,1284958.83124427,"JAM"
2023,1579226.49120693,"JAM"
2024,1940884.21347692,"JAM"
2025,2385364.95626093,"JAM"
2026,2931635.97037283,"JAM"
2027,3603008.18548778,"JAM"
2028,4428130.95346248,"JAM"
2029,5442214.59723327,"JAM"
2030,6688532.9349124,"JAM"
2031,8220269.89603666,"JAM"
2032,10102789.030308,"JAM"
2033,12416422.7551849,"JAM"
2034,15259900.3674111,"JAM"
2035,18754561.101431,"JAM"
2036,23049532.017815,"JAM"
2037,28328091.6768423,"JAM"
2038,34815491.1531976,"JAM"
2039,42788566.1366051,"JAM"
2040,52587550.2939293,"JAM"
2041,64630594.0023247,"JAM"
2042,79431608.0088549,"JAM"
2043,97622193.4560192,"JAM"
2044,119978594.089421,"JAM"
2045,147454820.774534,"JAM"
2046,181223361.839401,"JAM"
2047,222725216.468788,"JAM"
2048,273731386.216252,"JAM"
2049,336418448.650924,"JAM"
2050,413461438.080332,"JAM"
2021,129773.8,"JOR"
2022,457378.409454996,"JOR"
2023,1611997.25549827,"JOR"
2024,5681368.20194537,"JOR"
2025,20023572.9533539,"JOR"
2026,70571640.4159474,"JOR"
2027,248724662.806174,"JOR"
2028,876612156.433103,"JOR"
2029,3089556395.96195,"JOR"
2030,10888918952.1042,"JOR"
2031,38377210430.7479,"JOR"
2032,135257713545.686,"JOR"
2033,476706067696.601,"JOR"
2034,1680116194644.97,"JOR"
2035,5921448495815.75,"JOR"
2036,20869718654195.9,"JOR"
2037,73553819983921,"JOR"
2038,259235139863245,"JOR"
2039,913655575667003,"JOR"
2040,3220113258517992,"JOR"
2041,11349057209127746,"JOR"
2042,39998934570187512,"JOR"
2043,140973363449377296,"JOR"
2044,496850464038174080,"JOR"
2045,1751113668388816128,"JOR"
2046,6171673977509939200,"JOR"
2047,21751620338683789312,"JOR"
2048,7.6662018940465e+19,"JOR"
2049,2.70189763177149e+20,"JOR"
2050,9.522643563877e+20,"JOR"
2021,40911380,"JPN"
2022,39498544.8075362,"JPN"
2023,38134500.5207095,"JPN"
2024,36817562.1924818,"JPN"
2025,35546103.0638417,"JPN"
2026,34318552.554337,"JPN"
2027,33133394.3220019,"JPN"
2028,31989164.3902836,"JPN"
2029,30884449.3396521,"JPN"
2030,29817884.561663,"JPN"
2031,28788152.5733131,"JPN"
2032,27793981.3896083,"JPN"
2033,26834142.9523343,"JPN"
2034,25907451.6130868,"JPN"
2035,25012762.6686899,"JPN"
2036,24148970.9471916,"JPN"
2037,23315009.4426914,"JPN"
2038,22509847.9973121,"JPN"
2039,21732492.0286889,"JPN"
2040,20981981.301403,"JPN"
2041,20257388.740843,"JPN"
2042,19557819.2880286,"JPN"
2043,18882408.7939809,"JPN"
2044,18230322.9522756,"JPN"
2045,17600756.2684591,"JPN"
2046,16992931.0650547,"JPN"
2047,16406096.5209297,"JPN"
2048,15839527.7438382,"JPN"
2049,15292524.8749909,"JPN"
2050,14764412.2245495,"JPN"
2021,846008.9,"KAZ"
2022,897029.357544392,"KAZ"
2023,951126.71781172,"KAZ"
2024,1008486.54029757,"KAZ"
2025,1069305.57507763,"KAZ"
2026,1133792.43768065,"KAZ"
2027,1202168.32466108,"KAZ"
2028,1274667.77232597,"KAZ"
2029,1351539.46121856,"KAZ"
2030,1433047.06911804,"KAZ"
2031,1519470.1754814,"KAZ"
2032,1611105.22042965,"KAZ"
2033,1708266.52156783,"KAZ"
2034,1811287.35212665,"KAZ"
2035,1920521.08412388,"KAZ"
2036,2036342.4004666,"KAZ"
2037,2159148.580152,"KAZ"
2038,2289360.86097514,"KAZ"
2039,2427425.88441778,"KAZ"
2040,2573817.22767444,"KAZ"
2041,2729037.02807085,"KAZ"
2042,2893617.70544642,"KAZ"
2043,3068123.78840894,"KAZ"
2044,3253153.85072561,"KAZ"
2045,3449342.56449247,"KAZ"
2046,3657362.87712482,"KAZ"
2047,3877928.31963587,"KAZ"
2048,4111795.4541213,"KAZ"
2049,4359766.46884493,"KAZ"
2050,4622691.92982668,"KAZ"
2021,215341.7,"KEN"
2022,1089266.65664247,"KEN"
